sample_label	d1	d2
c2g2s636	15.009216	8.525306	15.009216
c2g2s637	14.080224	9.00573	9.00573
c2g2s638	14.338515	7.470245	14.338515
c2g2s639	11.831923	7.923853	7.923853
c2g2s640	12.23211	7.685469	12.23211
c2g2s641	12.568517	7.997786	7.997786
c2g2s642	9.919575	6.584701	9.919575
c2g2s643	13.748555	10.227921	10.227921
c2g2s644	11.083963	8.935748	11.083963
c2g2s645	12.451495	7.645038	7.645038
c2g2s646	10.442237	8.0468	10.442237
c2g2s647	13.445472	7.144403	7.144403
c2g2s648	11.38078	10.369708	11.38078
c2g2s649	9.971004	7.780204	7.780204
c2g2s650	12.918224	7.859076	12.918224
c2g2s651	15.08847	8.956548	8.956548
c2g2s652	14.182929	10.530591	14.182929
c2g2s653	10.078398	6.738377	6.738377
c2g2s654	10.997972	8.023078	10.997972
c2g2s655	9.256527	8.384562	8.384562
c2g2s656	10.768537	9.826799	10.768537
c2g2s657	13.093722	8.702083	8.702083
c2g2s658	11.482271	11.082863	11.482271
c2g2s659	10.256745	9.817834	9.817834
c2g2s660	9.263867	9.675109	9.263867
c2g2s661	12.485631	11.367351	11.367351
c2g2s662	13.284205	6.875322	13.284205
c2g2s663	14.295099	6.457086	6.457086
c2g2s664	10.831849	11.264127	10.831849
c2g2s665	9.142095	8.792323	8.792323
c2g2s666	12.114291	9.05619	12.114291
c2g2s667	9.361241	8.399722	8.399722
c2g2s668	14.15622	10.033571	14.15622
c2g2s669	10.982247	10.319362	10.319362
c2g2s670	15.308894	7.890213	15.308894
c2g2s671	15.245009	9.334135	9.334135
c2g2s672	12.791996	5.656481	12.791996
c2g2s673	10.058187	10.388088	10.388088
c2g2s674	14.114885	10.555354	14.114885
c2g2s675	13.927818	7.81259	7.81259
c2g2s676	12.921575	7.907944	12.921575
c2g2s677	11.165146	9.908106	9.908106
c2g2s678	10.137305	10.695453	10.137305
c2g2s679	9.823752	8.934781	8.934781
c2g2s680	13.436711	10.727618	13.436711
c2g2s681	13.816445	6.827832	6.827832
c2g2s682	13.571455	7.127505	13.571455
c2g2s683	15.18401	8.971322	8.971322
c2g2s684	14.619501	9.327803	14.619501
c2g2s685	9.187688	8.318944	8.318944
c2g2s686	11.652688	7.084298	11.652688
c2g2s687	10.090506	7.413146	7.413146
c2g2s688	14.705873	10.02109	14.705873
c2g2s689	10.381018	7.134471	7.134471
c2g2s690	14.858395	8.803081	14.858395
c2g2s691	9.564036	6.884535	6.884535
c2g2s692	9.201223	9.172544	9.201223
c2g2s693	10.932295	10.9994	10.9994
c2g2s694	10.410347	7.528344	10.410347
c2g2s695	13.063035	7.020538	7.020538
c2g2s696	13.012642	9.133684	13.012642
c2g2s697	12.228514	7.679904	7.679904
c2g2s698	11.064774	9.514376	11.064774
c2g2s699	10.433168	6.784588	6.784588
c2g2s700	13.954299	7.294426	13.954299
c2g2s701	12.640934	7.101787	7.101787
c2g2s702	10.441883	7.665823	10.441883
c2g2s703	11.417171	7.538549	7.538549
c2g2s704	11.567045	8.817093	11.567045
c2g2s705	15.43959	8.026493	8.026493
c2g2s706	10.359937	10.254837	10.359937
c2g2s707	14.422972	9.802779	9.802779
c2g2s708	11.477478	7.146463	11.477478
c2g2s709	14.705992	9.211237	9.211237
c2g2s710	12.825523	10.644404	12.825523
c2g2s711	14.310111	7.95509	7.95509
c2g2s712	9.479719	7.581505	9.479719
c2g2s713	11.25642	5.760038	5.760038
c2g2s714	13.647328	7.998586	13.647328
c2g2s715	9.724373	8.703555	8.703555
c2g2s716	15.215679	9.365814	15.215679
c2g2s717	11.452172	7.333899	7.333899
c2g2s718	9.358056	8.694488	9.358056
c2g2s719	14.053382	7.91048	7.91048
c2g2s720	14.029798	8.030588	14.029798
c2g2s721	11.98294	10.556114	10.556114
c2g2s722	14.385678	10.491702	14.385678
c2g2s723	14.744164	7.137071	7.137071
c2g2s724	14.651739	7.160326	14.651739
c2g2s725	13.625866	8.724216	8.724216
c2g2s726	10.586005	6.300031	10.586005
c2g2s727	13.038178	6.143727	6.143727
c2g2s728	10.358088	7.110598	10.358088
c2g2s729	15.218923	9.770154	9.770154
c2g2s730	14.403777	9.716157	14.403777
c2g2s731	10.644365	5.867697	5.867697
c2g2s732	12.182271	9.330356	12.182271
c2g2s733	11.762921	11.031745	11.031745
c2g2s734	12.28452	10.193484	12.28452
c2g2s735	9.696012	9.920654	9.920654
c2g2s736	9.263811	9.431705	9.263811
c2g2s737	11.554902	11.187994	11.187994
c2g2s738	13.975433	9.653181	13.975433
c2g2s739	9.296032	8.941912	8.941912
c2g2s740	15.212855	8.888133	15.212855
c2g2s741	13.193009	11.373789	11.373789
c2g2s742	10.17289	6.528154	10.17289
c2g2s743	10.740586	10.601437	10.601437
c2g2s744	10.768198	6.874358	10.768198
c2g2s745	10.009943	7.865461	7.865461
c2g2s746	15.174351	8.561474	15.174351
c2g2s747	13.305005	11.467238	11.467238
c2g2s748	11.093351	6.827055	11.093351
c2g2s749	15.225057	8.289679	8.289679
c2g2s750	14.001085	8.004094	14.001085
c2g2s751	14.260323	6.5607	6.5607
c2g2s752	13.82326	8.301287	13.82326
c2g2s753	12.634696	7.066673	7.066673
c2g2s754	11.282228	8.076616	11.282228
c2g2s755	13.84769	10.193404	10.193404
c2g2s756	11.190043	8.00841	11.190043
c2g2s757	10.867283	9.012514	9.012514
c2g2s758	11.078285	8.747571	11.078285
c2g2s759	13.003063	9.619385	9.619385
c2g2s760	10.668061	8.407615	10.668061
c2g2s761	9.184584	9.622792	9.622792
c2g2s762	13.631439	7.956052	13.631439
c2g2s763	13.629915	9.500306	9.500306
c2g2s764	15.290749	7.983204	15.290749
c2g2s765	13.840223	8.713207	8.713207
c2g2s766	13.873248	8.9819	13.873248
c2g2s767	10.709902	8.944867	8.944867
c2g2s768	9.639471	6.774252	9.639471
c2g2s769	11.307532	7.873793	7.873793
c2g2s770	13.581866	7.724301	13.581866
c2g2s771	15.200565	7.66262	7.66262
c2g2s772	13.033359	8.861639	13.033359
c2g2s773	9.19941	8.565987	8.565987
c2g2s774	12.274686	9.205458	12.274686
c2g2s775	11.497649	9.787275	9.787275
c2g2s776	15.212991	7.879142	15.212991
c2g2s777	11.215106	6.305744	6.305744
c2g2s778	11.289707	8.668364	11.289707
c2g2s779	15.323066	9.383011	9.383011
c2g2s780	9.440003	7.527597	9.440003
c2g2s781	10.711948	8.276427	8.276427
c2g2s782	14.042595	7.891128	14.042595
c2g2s783	9.485763	7.475215	7.475215
c2g2s784	11.050547	10.741202	11.050547
c2g2s785	14.325233	7.811958	7.811958
c2g2s786	11.856661	5.809234	11.856661
c2g2s787	11.579651	11.704325	11.704325
c2g2s788	12.088376	6.220069	12.088376
c2g2s789	14.378083	7.683096	7.683096
c2g2s790	13.288433	10.028436	13.288433
c2g2s791	14.243624	7.503705	7.503705
c2g2s792	15.440384	8.22681	15.440384
c2g2s793	12.828852	8.795628	8.795628
c2g2s794	14.51794	8.926405	14.51794
c2g2s795	10.203155	8.425339	8.425339
c2g2s796	9.154357	8.311018	9.154357
c2g2s797	9.043277	8.044907	8.044907
c2g2s798	12.895425	6.93299	12.895425
c2g2s799	15.278522	8.704539	8.704539
c2g2s800	14.597762	8.654923	14.597762
c2g2s801	13.38402	9.75081	9.75081
c2g2s802	15.281734	8.488202	15.281734
c2g2s803	13.666319	5.822008	5.822008
c2g2s804	11.288871	8.566915	11.288871
c2g2s805	15.184296	9.477694	9.477694
c2g2s806	14.254043	6.392232	14.254043
c2g2s807	13.361805	6.515779	6.515779
c2g2s808	13.447156	10.966589	13.447156
c2g2s809	13.23889	9.278698	9.278698
c2g2s810	9.633027	8.826184	9.633027
c2g2s811	14.715869	8.38139	8.38139
c2g2s812	11.948833	8.558574	11.948833
c2g2s813	10.081874	7.109528	7.109528
c2g2s814	15.446775	8.193702	15.446775
c2g2s815	13.008355	6.722759	6.722759
c2g2s816	9.581396	6.973628	9.581396
c2g2s817	9.644202	7.185984	7.185984
c2g2s818	15.120784	9.169673	15.120784
c2g2s819	9.388725	9.21491	9.21491
c2g2s820	9.921469	7.165519	9.921469
c2g2s821	9.288198	8.975046	8.975046
c2g2s822	9.244974	7.790619	9.244974
c2g2s823	13.59592	10.415032	10.415032
c2g2s824	13.430561	7.933387	13.430561
c2g2s825	14.85332	6.881017	6.881017
c2g2s826	14.405784	8.554646	14.405784
c2g2s827	15.049986	7.219508	7.219508
c2g2s828	11.885428	8.282082	11.885428
c2g2s829	9.265101	8.148739	8.148739
c2g2s830	13.677681	10.89915	13.677681
c2g2s831	13.22296	5.947389	5.947389
c2g2s832	9.974669	7.403004	9.974669
c2g2s833	13.649714	10.056131	10.056131
c2g2s834	11.816812	6.056751	11.816812
c2g2s835	9.922731	8.091329	8.091329
c2g2s836	14.187312	10.724715	14.187312
c2g2s837	13.550632	8.80337	8.80337
c2g2s838	13.340499	5.568015	13.340499
c2g2s839	12.900485	8.453444	8.453444
c2g2s840	15.360498	8.718546	15.360498
c2g2s841	11.719237	6.483428	6.483428
c2g2s842	13.121882	5.592577	13.121882
c2g2s843	10.854843	8.940274	8.940274
c2g2s844	10.267246	11.043278	10.267246
c2g2s845	14.916961	9.932133	9.932133
c2g2s846	11.07009	10.688884	11.07009
c2g2s847	11.992822	11.684587	11.684587
c2g2s848	13.086197	10.619302	13.086197
c2g2s849	11.146829	7.228544	7.228544
c2g2s850	12.169801	7.49656	12.169801
c2g2s851	9.580286	8.550398	8.550398
c2g2s852	11.278549	9.733826	11.278549
c2g2s853	15.400432	8.613181	8.613181
c2g2s854	14.993649	7.866459	14.993649
c2g2s855	14.42061	9.936549	9.936549
c2g2s856	11.523869	6.439371	11.523869
c2g2s857	11.418455	8.068489	8.068489
c2g2s858	15.054545	9.717558	15.054545
c2g2s859	14.156304	8.989649	8.989649
c2g2s860	13.997844	7.849653	13.997844
c2g2s861	14.448628	7.471354	7.471354
c2g2s862	13.828202	10.038633	13.828202
c2g2s863	10.801558	10.141583	10.141583
c2g2s864	9.013908	8.575844	9.013908
c2g2s865	10.438593	11.127747	11.127747
c2g2s866	14.799712	7.028166	14.799712
c2g2s867	11.889374	5.341663	5.341663
c2g2s868	11.975923	6.834753	11.975923
c2g2s869	9.903481	10.524402	10.524402
c2g2s870	14.901324	10.159952	14.901324
c2g2s871	10.073305	6.488484	6.488484
c2g2s872	13.36089	11.330068	13.36089
c2g2s873	13.374799	6.224897	6.224897
c2g2s874	12.885301	7.416095	12.885301
c2g2s875	9.671144	6.753842	6.753842
c2g2s876	15.470857	8.807376	15.470857
c2g2s877	14.588426	10.584521	10.584521
c2g2s878	11.241777	9.486472	11.241777
c2g2s879	12.525832	8.669703	8.669703
c2g2s880	14.259777	9.168304	14.259777
c2g2s881	15.448262	8.68363	8.68363
c2g2s882	13.93376	9.354774	13.93376
c2g2s883	14.912334	9.473299	9.473299
c2g2s884	13.035631	11.404259	13.035631
c2g2s885	14.744654	9.810627	9.810627
c2g2s886	10.586883	8.624152	10.586883
c2g2s887	14.094258	8.338025	8.338025
c2g2s888	11.118673	6.847775	11.118673
c2g2s889	15.305145	7.595782	7.595782
c2g2s890	14.033184	7.274246	14.033184
c2g2s891	13.531513	6.252712	6.252712
c2g2s892	11.577607	11.186471	11.577607
c2g2s893	14.297064	10.779919	10.779919
c2g2s894	14.308805	8.32555	14.308805
c2g2s895	14.830599	7.894621	7.894621
c2g2s896	11.280204	9.481504	11.280204
c2g2s897	15.219804	8.085763	8.085763
c2g2s898	11.767829	8.931799	11.767829
c2g2s899	13.315604	7.919196	7.919196
c2g2s900	10.513667	6.504118	10.513667
c2g2s901	11.543623	10.338862	10.338862
c2g2s902	15.237302	9.578815	15.237302
c2g2s903	14.54527	8.400716	8.400716
c2g2s904	14.703959	7.207779	14.703959
c2g2s905	13.693878	9.060547	9.060547
c2g2s906	13.888142	8.401146	13.888142
c2g2s907	9.992764	8.809631	8.809631
c2g2s908	9.462372	8.539434	9.462372
c2g2s909	10.14775	6.77003	6.77003
c2g2s910	15.007263	9.132867	15.007263
c2g2s911	9.080997	7.969118	7.969118
c2g2s912	14.12481	6.071675	14.12481
c2g2s913	14.647919	10.611233	10.611233
c2g2s914	15.316945	9.466413	15.316945
c2g2s915	11.72907	7.339232	7.339232
c2g2s916	11.564555	10.440378	11.564555
c2g2s917	12.557319	6.278129	6.278129
c2g2s918	14.60275	9.517563	14.60275
c2g2s919	9.260499	9.011615	9.011615
c2g2s920	12.734826	7.623444	12.734826
c2g2s921	10.077693	9.593295	9.593295
c2g2s922	11.448938	10.878409	11.448938
c2g2s923	14.118056	11.189731	11.189731
c2g2s924	14.446369	6.515003	14.446369
c2g2s925	12.46725	9.295362	9.295362
c2g2s926	14.381416	6.75597	14.381416
c2g2s927	12.664817	9.984973	9.984973
c2g2s928	14.013289	9.097723	14.013289
c2g2s929	9.764874	7.670508	7.670508
c2g2s930	13.058222	11.405334	13.058222
c2g2s931	10.78052	5.993027	5.993027
c2g2s932	15.073816	7.156667	15.073816
c2g2s933	14.162226	6.686927	6.686927
c2g2s934	10.655118	6.086658	10.655118
c2g2s935	9.611487	9.525109	9.525109
c2g2s936	9.013334	8.414207	9.013334
c2g2s937	14.938529	10.012283	10.012283
c2g2s938	13.894728	10.70531	13.894728
c2g2s939	13.478544	7.817333	7.817333
c2g2s940	9.771977	9.20426	9.771977
c2g2s941	11.427095	7.24382	7.24382
c2g2s942	13.690918	10.004251	13.690918
c2g2s943	13.865072	6.18129	6.18129
c2g2s944	11.222947	7.089969	11.222947
c2g2s945	14.776237	6.566854	6.566854
c2g2s946	15.363465	7.899906	15.363465
c2g2s947	9.090487	8.726058	8.726058
c2g2s948	10.206855	8.174587	10.206855
c2g2s949	14.919139	6.909421	6.909421
c2g2s950	11.633049	11.387964	11.633049
c2g2s951	14.150381	10.906425	10.906425
c2g2s952	11.748734	6.843522	11.748734
c2g2s953	13.692554	6.065558	6.065558
c2g2s954	13.582104	10.76981	13.582104
c2g2s955	11.957176	10.552773	10.552773
c2g2s956	10.202757	8.617007	10.202757
c2g2s957	9.426208	8.326115	8.326115
c2g2s958	10.613982	9.532969	10.613982
c2g2s959	13.818675	10.39167	10.39167
c2g2s960	12.662107	6.534719	12.662107
c2g2s961	11.006557	11.326061	11.326061
c2g2s962	15.3851	7.759741	15.3851
c2g2s963	11.666504	5.787349	5.787349
c2g2s964	12.225299	10.158833	12.225299
c2g2s965	11.205109	9.015783	9.015783
c2g2s966	12.621606	11.065936	12.621606
c2g2s967	13.17435	9.19686	9.19686
c2g2s968	11.592944	10.720355	11.592944
c2g2s969	10.383969	6.436672	6.436672
c2g2s970	9.544338	7.502724	9.544338
c2g2s971	11.541749	10.60111	10.60111
c2g2s972	12.437444	10.137172	12.437444
c2g2s973	12.332544	10.971288	10.971288
c2g2s974	9.631967	7.147791	9.631967
c2g2s975	10.119316	7.827584	7.827584
c2g2s976	11.6064	10.032693	11.6064
c2g2s977	15.322183	8.409755	8.409755
c2g2s978	10.650558	6.094104	10.650558
c2g2s979	14.547419	7.001063	7.001063
c2g2s980	14.394662	8.385033	14.394662
c2g2s981	9.041333	8.104689	8.104689
c2g2s982	13.508667	7.592837	13.508667
c2g2s983	11.75136	8.28869	8.28869
c2g2s984	14.402592	7.39681	14.402592
c2g2s985	15.196695	8.759336	8.759336
c2g2s986	12.797873	6.74711	12.797873
c2g2s987	9.392905	9.363665	9.363665
c2g2s988	12.874347	10.826388	12.874347
c2g2s989	9.090582	9.049733	9.049733
c2g2s990	11.829362	9.59984	11.829362
c2g2s991	14.63405	10.312605	10.312605
c2g2s992	9.966348	6.573965	9.966348
c2g2s993	12.955037	5.649479	5.649479
c2g2s994	14.675883	7.945219	14.675883
c2g2s995	12.359719	10.457532	10.457532
c2g2s996	13.092329	9.110222	13.092329
c2g2s997	13.071551	9.641615	9.641615
c2g2s998	10.383887	6.139417	10.383887
c2g2s999	9.420275	8.473474	8.473474
c2g2s1000	14.467691	6.996328	14.467691
